	... reading file ...
	... done reading file ... 
output 0.000316 for 36 nodes

	... starting backpropagation ...
n0 t: v, dr: 0.000474 vr: 0.000000
n1 t: n, dr: 0.000000 vr: 0.981081
n2 t: n, dr: 0.000000 vr: 0.999500
n3 t: v, dr: 0.000000 vr: 0.000000
n4 t: *, dr: 0.000000 vr: 0.999500
n5 t: n, dr: 0.000000 vr: 4.481689
n6 t: *, dr: 0.000000 vr: 0.000000
n7 t: *, dr: 0.000000 vr: 0.981081
n8 t: n, dr: 0.000000 vr: 0.948190
n9 t: n, dr: 0.000000 vr: 0.000500
n10 t: v, dr: 0.000000 vr: 1.000000
n11 t: *, dr: 0.000000 vr: 0.000500
n12 t: *, dr: 0.000000 vr: 0.000474
n13 t: +, dr: 0.000000 vr: 0.000474
n14 t: *, dr: 1.000000 vr: 0.000474
n15 t: v, dr: 0.000026 vr: 1.000000
n16 t: n, dr: 0.000000 vr: 0.018873
n17 t: *, dr: 1.000000 vr: 0.000000
n18 t: n, dr: 0.000500 vr: 0.051819
n19 t: *, dr: 1.000000 vr: 0.000026
n20 t: +, dr: 1.000000 vr: 0.000026
n21 t: *, dr: 1.000000 vr: 0.000026
n22 t: +, dr: 1.000000 vr: 0.000026
n23 t: v, dr: 0.000000 vr: 0.000000
n24 t: *, dr: 1.000000 vr: 0.000026
n25 t: *, dr: 0.000000 vr: 0.000000
n26 t: +, dr: 0.000000 vr: 0.000474
n27 t: *, dr: 1.000000 vr: 0.000474
n28 t: n, dr: 0.000026 vr: 12.182494
n29 t: *, dr: 0.051819 vr: 0.006091
n30 t: *, dr: 1.000000 vr: 0.000316
n31 t: +, dr: 1.000000 vr: 0.000316
n32 t: *, dr: 1.000000 vr: 0.000316
n33 t: +, dr: 1.000000 vr: 0.000316
n34 t: v, dr: 0.000316 vr: 1.000000
n35 t: *, dr: 1.000000 vr: 0.000316
n36 t: +, dr: 1.000000 vr: 0.000316
