	... reading file ...
	... done reading file ... 
output 0.264645 for 21714 nodes

	... starting backpropagation ...
n0 t: n, dr: 0.000000 vr: 3.560735
n1 t: v, dr: 0.000000 vr: 0.000000
n2 t: *, dr: 0.000000 vr: 3.560735
n3 t: n, dr: 0.000000 vr: 0.280841
n4 t: v, dr: 0.000000 vr: 1.000000
n5 t: *, dr: 0.000000 vr: 0.280841
n6 t: +, dr: 0.000000 vr: 0.280841
n7 t: n, dr: 0.000000 vr: 3.101471
n8 t: v, dr: 0.000000 vr: 0.000000
n9 t: *, dr: 0.000000 vr: 3.101471
n10 t: n, dr: 0.000000 vr: 0.322428
n11 t: v, dr: 0.000000 vr: 1.000000
n12 t: *, dr: 0.000000 vr: 0.322428
n13 t: +, dr: 0.000000 vr: 0.322428
n14 t: n, dr: 0.000000 vr: 3.004151
n15 t: v, dr: 0.000000 vr: 0.000000
n16 t: *, dr: 0.000000 vr: 3.004151
n17 t: n, dr: 0.000000 vr: 0.332873
n18 t: v, dr: 0.000000 vr: 1.000000
n19 t: *, dr: 0.000000 vr: 0.332873
n20 t: +, dr: 0.000000 vr: 0.332873
n21 t: n, dr: 0.000000 vr: 4.589930
n22 t: v, dr: 0.000000 vr: 0.000000
n23 t: *, dr: 0.000000 vr: 4.589930
n24 t: n, dr: 0.000000 vr: 0.217868
n25 t: v, dr: 0.000000 vr: 1.000000
n26 t: *, dr: 0.000000 vr: 0.217868
n27 t: +, dr: 0.000000 vr: 0.217868
n28 t: n, dr: 0.000000 vr: 3.135777
n29 t: v, dr: 0.000000 vr: 0.000000
n30 t: *, dr: 0.000000 vr: 3.135777
n31 t: n, dr: 0.000000 vr: 0.318900
n32 t: v, dr: 0.000000 vr: 1.000000
n33 t: *, dr: 0.000000 vr: 0.318900
n34 t: +, dr: 0.000000 vr: 0.318900
n35 t: n, dr: 0.000000 vr: 3.270635
n36 t: v, dr: 0.000000 vr: 0.000000
n37 t: *, dr: 0.000000 vr: 3.270635
n38 t: n, dr: 0.000000 vr: 0.305751
n39 t: v, dr: 0.000000 vr: 1.000000
n40 t: *, dr: 0.000000 vr: 0.305751
n41 t: +, dr: 0.000000 vr: 0.305751
n42 t: n, dr: 0.000000 vr: 3.528607
n43 t: v, dr: 0.000000 vr: 0.000000
n44 t: *, dr: 0.000000 vr: 3.528607
n45 t: n, dr: 0.000000 vr: 0.283398
n46 t: v, dr: 0.000000 vr: 1.000000
n47 t: *, dr: 0.000000 vr: 0.283398
n48 t: +, dr: 0.000000 vr: 0.283398
n49 t: n, dr: 0.000000 vr: 3.734092
n50 t: v, dr: 0.000000 vr: 0.000000
n51 t: *, dr: 0.000000 vr: 3.734092
n52 t: n, dr: 0.000000 vr: 0.267803
n53 t: v, dr: 0.000000 vr: 1.000000
n54 t: *, dr: 0.000000 vr: 0.267803
n55 t: +, dr: 0.000000 vr: 0.267803
n56 t: n, dr: 0.000000 vr: 3.890496
n57 t: v, dr: 0.000000 vr: 0.000000
n58 t: *, dr: 0.000000 vr: 3.890496
n59 t: n, dr: 0.000000 vr: 0.257037
n60 t: v, dr: 0.000000 vr: 1.000000
n61 t: *, dr: 0.000000 vr: 0.257037
n62 t: +, dr: 0.000000 vr: 0.257037
n63 t: n, dr: 0.000000 vr: 3.810109
n64 t: v, dr: 0.000000 vr: 0.000000
n65 t: *, dr: 0.000000 vr: 3.810109
n66 t: n, dr: 0.000000 vr: 0.262460
n67 t: v, dr: 0.000000 vr: 1.000000
n68 t: *, dr: 0.000000 vr: 0.262460
n69 t: +, dr: 0.000000 vr: 0.262460
n70 t: n, dr: 0.000000 vr: 3.577097
n71 t: v, dr: 0.000000 vr: 0.000000
n72 t: *, dr: 0.000000 vr: 3.577097
n73 t: n, dr: 0.000000 vr: 0.279556
n74 t: v, dr: 0.000000 vr: 1.000000
n75 t: *, dr: 0.000000 vr: 0.279556
n76 t: +, dr: 0.000000 vr: 0.279556
n77 t: n, dr: 0.000000 vr: 2.464649
n78 t: v, dr: 0.000000 vr: 0.000000
n79 t: *, dr: 0.000000 vr: 2.464649
n80 t: n, dr: 0.000000 vr: 0.405737
n81 t: v, dr: 0.000000 vr: 1.000000
n82 t: *, dr: 0.000000 vr: 0.405737
n83 t: +, dr: 0.000000 vr: 0.405737
n84 t: n, dr: 0.000000 vr: 3.627424
n85 t: v, dr: 0.000000 vr: 0.000000
n86 t: *, dr: 0.000000 vr: 3.627424
n87 t: n, dr: 0.000000 vr: 0.275678
n88 t: v, dr: 0.000000 vr: 1.000000
n89 t: *, dr: 0.000000 vr: 0.275678
n90 t: +, dr: 0.000000 vr: 0.275678
n91 t: n, dr: 0.000000 vr: 3.810109
n92 t: v, dr: 0.000000 vr: 0.000000
n93 t: *, dr: 0.000000 vr: 3.810109
n94 t: n, dr: 0.000000 vr: 0.262460
n95 t: v, dr: 0.000000 vr: 1.000000
n96 t: *, dr: 0.000000 vr: 0.262460
n97 t: +, dr: 0.000000 vr: 0.262460
n98 t: n, dr: 0.000000 vr: 4.162640
n99 t: v, dr: 0.000000 vr: 0.000000
n100 t: *, dr: 0.000000 vr: 4.162640
n101 t: n, dr: 0.000000 vr: 0.240232
n102 t: v, dr: 0.000000 vr: 1.000000
n103 t: *, dr: 0.000000 vr: 0.240232
n104 t: +, dr: 0.000000 vr: 0.240232
n105 t: n, dr: 0.000000 vr: 3.560735
n106 t: v, dr: 0.000000 vr: 0.000000
n107 t: *, dr: 0.000000 vr: 3.560735
n108 t: n, dr: 0.000000 vr: 0.280841
n109 t: v, dr: 0.000000 vr: 1.000000
n110 t: *, dr: 0.000000 vr: 0.280841
n111 t: +, dr: 0.000000 vr: 0.280841
n112 t: n, dr: 0.000000 vr: 5.035877
n113 t: v, dr: 0.000000 vr: 0.000000
n114 t: *, dr: 0.000000 vr: 5.035877
n115 t: n, dr: 0.000000 vr: 0.198575
n116 t: v, dr: 0.000000 vr: 1.000000
n117 t: *, dr: 0.000000 vr: 0.198575
n118 t: +, dr: 0.000000 vr: 0.198575
n119 t: n, dr: 0.000000 vr: 3.829780
n120 t: v, dr: 0.000000 vr: 0.000000
n121 t: *, dr: 0.000000 vr: 3.829780
n122 t: n, dr: 0.000000 vr: 0.261112
n123 t: v, dr: 0.000000 vr: 1.000000
n124 t: *, dr: 0.000000 vr: 0.261112
n125 t: +, dr: 0.000000 vr: 0.261112
n126 t: n, dr: 0.000000 vr: 2.914365
n127 t: v, dr: 0.000000 vr: 0.000000
n128 t: *, dr: 0.000000 vr: 2.914365
n129 t: n, dr: 0.000000 vr: 0.343128
n130 t: v, dr: 0.000000 vr: 1.000000
n131 t: *, dr: 0.000000 vr: 0.343128
n132 t: +, dr: 0.000000 vr: 0.343128
n133 t: n, dr: 0.000000 vr: 3.422005
n134 t: v, dr: 0.000000 vr: 0.000000
n135 t: *, dr: 0.000000 vr: 3.422005
n136 t: n, dr: 0.000000 vr: 0.292226
n137 t: v, dr: 0.000000 vr: 1.000000
n138 t: *, dr: 0.000000 vr: 0.292226
n139 t: +, dr: 0.000000 vr: 0.292226
n140 t: n, dr: 0.000000 vr: 2.753756
n141 t: v, dr: 0.000000 vr: 0.000000
n142 t: *, dr: 0.000000 vr: 2.753756
n143 t: n, dr: 0.000000 vr: 0.363140
n144 t: v, dr: 0.000000 vr: 1.000000
n145 t: *, dr: 0.000000 vr: 0.363140
n146 t: +, dr: 0.000000 vr: 0.363140
n147 t: n, dr: 0.000000 vr: 5.877263
n148 t: v, dr: 0.000000 vr: 0.000000
n149 t: *, dr: 0.000000 vr: 5.877263
n150 t: n, dr: 0.000000 vr: 0.170147
n151 t: v, dr: 0.000000 vr: 1.000000
n152 t: *, dr: 0.000000 vr: 0.170147
n153 t: +, dr: 0.000000 vr: 0.170147
n154 t: n, dr: 0.000000 vr: 3.004151
n155 t: v, dr: 0.000000 vr: 0.000000
n156 t: *, dr: 0.000000 vr: 3.004151
n157 t: n, dr: 0.000000 vr: 0.332873
n158 t: v, dr: 0.000000 vr: 1.000000
n159 t: *, dr: 0.000000 vr: 0.332873
n160 t: +, dr: 0.000000 vr: 0.332873
n161 t: n, dr: 0.000000 vr: 3.079137
n162 t: v, dr: 0.000000 vr: 0.000000
n163 t: *, dr: 0.000000 vr: 3.079137
