	... reading file ...
	... done reading file ... 
output 0.000000 for 21714 nodes
log: -271.634508
	... starting backpropagation ...
n0 t: n, dr: log(-inf) vr: 3.560735, flag: 0
n1 t: v, dr: log(-270.531429) vr: 0.000000, flag: 0
n2 t: *, dr: log(-271.082968) vr: 3.560735, flag: 1
n3 t: n, dr: log(-271.082968) vr: 0.280841, flag: 0
n4 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n5 t: *, dr: log(-271.082968) vr: 0.280841, flag: 0
n6 t: +, dr: log(-271.082968) vr: 0.280841, flag: 0
n7 t: n, dr: log(-inf) vr: 3.101471, flag: 0
n8 t: v, dr: log(-270.651373) vr: 0.000000, flag: 0
n9 t: *, dr: log(-271.142940) vr: 3.101471, flag: 1
n10 t: n, dr: log(-271.142940) vr: 0.322428, flag: 0
n11 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n12 t: *, dr: log(-271.142940) vr: 0.322428, flag: 0
n13 t: +, dr: log(-271.142940) vr: 0.322428, flag: 0
n14 t: n, dr: log(-inf) vr: 3.004151, flag: 0
n15 t: v, dr: log(-270.679064) vr: 0.000000, flag: 0
n16 t: *, dr: log(-271.156786) vr: 3.004151, flag: 1
n17 t: n, dr: log(-271.156786) vr: 0.332873, flag: 0
n18 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n19 t: *, dr: log(-271.156786) vr: 0.332873, flag: 0
n20 t: +, dr: log(-271.156786) vr: 0.332873, flag: 0
n21 t: n, dr: log(-inf) vr: 4.589930, flag: 0
n22 t: v, dr: log(-270.310895) vr: 0.000000, flag: 0
n23 t: *, dr: log(-270.972701) vr: 4.589930, flag: 1
n24 t: n, dr: log(-270.972701) vr: 0.217868, flag: 0
n25 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n26 t: *, dr: log(-270.972701) vr: 0.217868, flag: 0
n27 t: +, dr: log(-270.972701) vr: 0.217868, flag: 0
n28 t: n, dr: log(-inf) vr: 3.135777, flag: 0
n29 t: v, dr: log(-270.641817) vr: 0.000000, flag: 0
n30 t: *, dr: log(-271.138162) vr: 3.135777, flag: 1
n31 t: n, dr: log(-271.138162) vr: 0.318900, flag: 0
n32 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n33 t: *, dr: log(-271.138162) vr: 0.318900, flag: 0
n34 t: +, dr: log(-271.138162) vr: 0.318900, flag: 0
n35 t: n, dr: log(-inf) vr: 3.270635, flag: 0
n36 t: v, dr: log(-270.605243) vr: 0.000000, flag: 0
n37 t: *, dr: log(-271.119876) vr: 3.270635, flag: 1
n38 t: n, dr: log(-271.119876) vr: 0.305751, flag: 0
n39 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n40 t: *, dr: log(-271.119876) vr: 0.305751, flag: 0
n41 t: +, dr: log(-271.119876) vr: 0.305751, flag: 0
n42 t: n, dr: log(-inf) vr: 3.528607, flag: 0
n43 t: v, dr: log(-270.539301) vr: 0.000000, flag: 0
n44 t: *, dr: log(-271.086904) vr: 3.528607, flag: 1
n45 t: n, dr: log(-271.086904) vr: 0.283398, flag: 0
n46 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n47 t: *, dr: log(-271.086904) vr: 0.283398, flag: 0
n48 t: +, dr: log(-271.086904) vr: 0.283398, flag: 0
n49 t: n, dr: log(-inf) vr: 3.734092, flag: 0
n50 t: v, dr: log(-270.490138) vr: 0.000000, flag: 0
n51 t: *, dr: log(-271.062323) vr: 3.734092, flag: 1
n52 t: n, dr: log(-271.062323) vr: 0.267803, flag: 0
n53 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n54 t: *, dr: log(-271.062323) vr: 0.267803, flag: 0
n55 t: +, dr: log(-271.062323) vr: 0.267803, flag: 0
n56 t: n, dr: log(-inf) vr: 3.890496, flag: 0
n57 t: v, dr: log(-270.454498) vr: 0.000000, flag: 0
n58 t: *, dr: log(-271.044503) vr: 3.890496, flag: 1
n59 t: n, dr: log(-271.044503) vr: 0.257037, flag: 0
n60 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n61 t: *, dr: log(-271.044503) vr: 0.257037, flag: 0
n62 t: +, dr: log(-271.044503) vr: 0.257037, flag: 0
n63 t: n, dr: log(-inf) vr: 3.810109, flag: 0
n64 t: v, dr: log(-270.472633) vr: 0.000000, flag: 0
n65 t: *, dr: log(-271.053571) vr: 3.810109, flag: 1
n66 t: n, dr: log(-271.053571) vr: 0.262460, flag: 0
n67 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n68 t: *, dr: log(-271.053571) vr: 0.262460, flag: 0
n69 t: +, dr: log(-271.053571) vr: 0.262460, flag: 0
n70 t: n, dr: log(-inf) vr: 3.577097, flag: 0
n71 t: v, dr: log(-270.527446) vr: 0.000000, flag: 0
n72 t: *, dr: log(-271.080976) vr: 3.577097, flag: 1
n73 t: n, dr: log(-271.080976) vr: 0.279556, flag: 0
n74 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n75 t: *, dr: log(-271.080976) vr: 0.279556, flag: 0
n76 t: +, dr: log(-271.080976) vr: 0.279556, flag: 0
n77 t: n, dr: log(-inf) vr: 2.464649, flag: 0
n78 t: v, dr: log(-270.850997) vr: 0.000000, flag: 0
n79 t: *, dr: log(-271.242752) vr: 2.464649, flag: 1
n80 t: n, dr: log(-271.242752) vr: 0.405737, flag: 0
n81 t: v, dr: log(-271.634508) vr: 1.000000, flag: 0
n82 t: *, dr: log(-271.242752) vr: 0.405737, flag: 0
n83 t: +, dr: log(-271.242752) vr: 0.405737, flag: 0
n84 t: n, dr: log(-inf) vr: 3.627424, flag: 0
