	... reading file ...
	... done reading file ... 
output 0.000000 for 12468 nodes
log: -153.040738
	... starting backpropagation ...
n0 t: n, dr: log(-inf) vr: 0.817762, flag: 0
n1 t: v, dr: log(-153.215484) vr: 0.000000, flag: 0
n2 t: *, dr: log(-153.128111) vr: 0.817762, flag: 1
n3 t: n, dr: log(-153.128111) vr: 1.222849, flag: 0
n4 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n5 t: *, dr: log(-153.128111) vr: 1.222849, flag: 0
n6 t: +, dr: log(-153.128111) vr: 1.222849, flag: 0
n7 t: n, dr: log(-inf) vr: 2.906070, flag: 0
n8 t: v, dr: log(-152.114126) vr: 0.000000, flag: 0
n9 t: *, dr: log(-152.577432) vr: 2.906070, flag: 1
n10 t: n, dr: log(-152.577432) vr: 0.344107, flag: 0
n11 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n12 t: *, dr: log(-152.577432) vr: 0.344107, flag: 0
n13 t: +, dr: log(-152.577432) vr: 0.344107, flag: 0
n14 t: n, dr: log(-inf) vr: 1.533964, flag: 0
n15 t: v, dr: log(-152.669108) vr: 0.000000, flag: 0
n16 t: *, dr: log(-152.854923) vr: 1.533964, flag: 1
n17 t: n, dr: log(-152.854923) vr: 0.651906, flag: 0
n18 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n19 t: *, dr: log(-152.854923) vr: 0.651906, flag: 0
n20 t: +, dr: log(-152.854923) vr: 0.651906, flag: 0
n21 t: n, dr: log(-inf) vr: 0.771059, flag: 0
n22 t: v, dr: log(-153.266563) vr: 0.000000, flag: 0
n23 t: *, dr: log(-153.153651) vr: 0.771059, flag: 1
n24 t: n, dr: log(-153.153651) vr: 1.296917, flag: 0
n25 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n26 t: *, dr: log(-153.153651) vr: 1.296917, flag: 0
n27 t: +, dr: log(-153.153651) vr: 1.296917, flag: 0
n28 t: n, dr: log(-inf) vr: 3.322815, flag: 0
n29 t: v, dr: log(-151.997727) vr: 0.000000, flag: 0
n30 t: *, dr: log(-152.519233) vr: 3.322815, flag: 1
n31 t: n, dr: log(-152.519233) vr: 0.300950, flag: 0
n32 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n33 t: *, dr: log(-152.519233) vr: 0.300950, flag: 0
n34 t: +, dr: log(-152.519233) vr: 0.300950, flag: 0
n35 t: n, dr: log(-inf) vr: 1.552184, flag: 0
n36 t: v, dr: log(-152.658852) vr: 0.000000, flag: 0
n37 t: *, dr: log(-152.849796) vr: 1.552184, flag: 1
n38 t: n, dr: log(-152.849796) vr: 0.644254, flag: 0
n39 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n40 t: *, dr: log(-152.849796) vr: 0.644254, flag: 0
n41 t: +, dr: log(-152.849796) vr: 0.644254, flag: 0
n42 t: n, dr: log(-inf) vr: 1.208352, flag: 0
n43 t: v, dr: log(-152.876352) vr: 0.000000, flag: 0
n44 t: *, dr: log(-152.958545) vr: 1.208352, flag: 1
n45 t: n, dr: log(-152.958545) vr: 0.827574, flag: 0
n46 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n47 t: *, dr: log(-152.958545) vr: 0.827574, flag: 0
n48 t: +, dr: log(-152.958545) vr: 0.827574, flag: 0
n49 t: n, dr: log(-inf) vr: 1.507346, flag: 0
n50 t: v, dr: log(-152.684313) vr: 0.000000, flag: 0
n51 t: *, dr: log(-152.862526) vr: 1.507346, flag: 1
n52 t: n, dr: log(-152.862526) vr: 0.663418, flag: 0
n53 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n54 t: *, dr: log(-152.862526) vr: 0.663418, flag: 0
n55 t: +, dr: log(-152.862526) vr: 0.663418, flag: 0
n56 t: n, dr: log(-inf) vr: 1.555259, flag: 0
n57 t: v, dr: log(-152.657133) vr: 0.000000, flag: 0
n58 t: *, dr: log(-152.848936) vr: 1.555259, flag: 1
n59 t: n, dr: log(-152.848936) vr: 0.642980, flag: 0
n60 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n61 t: *, dr: log(-152.848936) vr: 0.642980, flag: 0
n62 t: +, dr: log(-152.848936) vr: 0.642980, flag: 0
n63 t: n, dr: log(-inf) vr: 1.308365, flag: 0
n64 t: v, dr: log(-152.807281) vr: 0.000000, flag: 0
n65 t: *, dr: log(-152.924010) vr: 1.308365, flag: 1
n66 t: n, dr: log(-152.924010) vr: 0.764313, flag: 0
n67 t: v, dr: log(-153.040738) vr: 1.000000, flag: 0
n68 t: *, dr: log(-152.924010) vr: 0.764313, flag: 0
n69 t: +, dr: log(-152.924010) vr: 0.764313, flag: 0
n70 t: n, dr: log(-inf) vr: 1.360635, flag: 0
